id,playtime_forever
0,1.21375
1,5.753916667
2,0.11475
3,1.065416667
4,8.158916667
5,0.226166667
6,0.3445
7,1.353916667
8,0.379916667
9,4.502833333
10,0.062717201
11,0.955
12,16.84418845
13,0.360483244
14,4.256089853
15,0.357333333
16,0.11475
17,3.166
18,1.2465
19,1.057166667
20,0.2825
21,1.586666667
22,2.691333333
23,0.917333333
24,1.337
25,1.138083333
26,0.441666667
27,0.8175
28,1.66325
29,0
30,6.639067291
31,23.26352388
32,1.219601176
33,3.592606792
34,3.425224539
35,3.8898595
36,0
37,7.018216905
38,6.709768439
39,0
40,2.686875353
41,0.836517899
42,0.876068554
43,0
44,2.082841507
45,4.520855027
46,1.620416667
47,0.135083333
48,3.089416667
49,12.53378694
50,12.39880939
51,2.112714694
52,4.970447381
53,0.187083333
54,0.680083333
55,0.7755
56,1.596524202
57,4.589901086
58,0.542583333
59,0.091
60,18.15288229
61,0.495564815
62,0
63,12.28584711
64,0
65,1.047318898
66,0.436166667
67,0.16625
68,3.075720084
69,1.080293878
70,0.289666667
71,8.962569863
72,0
73,17.01682991
74,0
75,21.58152015
76,22.16691332
77,4.742391055
78,0.192476719
79,0
80,12.67300561
81,1.619242835
82,0.08175
83,9.685405051
84,1.143833333
85,25.35741667
86,0.924
87,18.098
88,13.93816667
89,6.302583333
